sourceDomainId	actions	targetDomainId	databases	type	drugbankId	uniprotId
drugbank.DB00001	inhibitor	2147	DrugCentral;DrugBank	DrugHasTarget	DB00001	P00734
drugbank.DB00002	antagonist	1956	DrugCentral;DrugBank	DrugHasTarget	DB00002	P00533
drugbank.DB00004	binder	3559	DrugCentral;DrugBank	DrugHasTarget	DB00004	P01589
drugbank.DB00004	agonist	3560	DrugCentral;DrugBank	DrugHasTarget	DB00004	P14784
drugbank.DB00004		3561	DrugCentral;DrugBank	DrugHasTarget	DB00004	P31785
drugbank.DB00005	antibody	7124	DrugCentral;DrugBank	DrugHasTarget	DB00005	P01375
drugbank.DB00006	inhibitor	2147	DrugCentral;DrugBank	DrugHasTarget	DB00006	P00734
drugbank.DB00007	agonist	2798	DrugCentral;DrugBank	DrugHasTarget	DB00007	P30968
drugbank.DB00008	agonist	3455	DrugCentral;DrugBank	DrugHasTarget	DB00008	P48551
drugbank.DB00008	agonist	3454	DrugCentral;DrugBank	DrugHasTarget	DB00008	P17181
drugbank.DB00009	activator	5340	DrugCentral;DrugBank	DrugHasTarget	DB00009	P00747
drugbank.DB00010	agonist	2692	DrugCentral;DrugBank	DrugHasTarget	DB00010	Q02643
drugbank.DB00012	agonist	2057	DrugCentral;DrugBank	DrugHasTarget	DB00012	P19235
drugbank.DB00013	activator	5340	DrugCentral;DrugBank	DrugHasTarget	DB00013	P00747
drugbank.DB00014	agonist	3973	DrugCentral;DrugBank	DrugHasTarget	DB00014	P22888
drugbank.DB00014	agonist	2798	DrugCentral;DrugBank	DrugHasTarget	DB00014	P30968
drugbank.DB00015	activator	5340	DrugCentral;DrugBank	DrugHasTarget	DB00015	P00747
drugbank.DB00016	agonist	2057	DrugCentral;DrugBank	DrugHasTarget	DB00016	P19235
drugbank.DB00017	agonist	799	DrugCentral;DrugBank	DrugHasTarget	DB00017	P30988
drugbank.DB00019	agonist	1441	DrugCentral;DrugBank	DrugHasTarget	DB00019	Q99062
drugbank.DB00020	agonist	1438	DrugCentral;DrugBank	DrugHasTarget	DB00020	P15509
drugbank.DB00020	agonist	1439	DrugCentral;DrugBank	DrugHasTarget	DB00020	P32927
