sourceDomainId	actions	targetDomainId	databases	type	drugbankId	uniprotId
drugbank.DB00001	inhibitor	F2	DrugCentral;DrugBank	DrugHasTarget	DB00001	P00734
drugbank.DB00002	antagonist	EGFR	DrugCentral;DrugBank	DrugHasTarget	DB00002	P00533
drugbank.DB00004	binder	IL2RA	DrugCentral;DrugBank	DrugHasTarget	DB00004	P01589
drugbank.DB00004	agonist	IL2RB	DrugCentral;DrugBank	DrugHasTarget	DB00004	P14784
drugbank.DB00004		IL2RG	DrugCentral;DrugBank	DrugHasTarget	DB00004	P31785
drugbank.DB00005	antibody	TNF	DrugCentral;DrugBank	DrugHasTarget	DB00005	P01375
drugbank.DB00006	inhibitor	F2	DrugCentral;DrugBank	DrugHasTarget	DB00006	P00734
drugbank.DB00007	agonist	GNRHR	DrugCentral;DrugBank	DrugHasTarget	DB00007	P30968
drugbank.DB00008	agonist	IFNAR2	DrugCentral;DrugBank	DrugHasTarget	DB00008	P48551
drugbank.DB00008	agonist	IFNAR1	DrugCentral;DrugBank	DrugHasTarget	DB00008	P17181
drugbank.DB00009	activator	PLG	DrugCentral;DrugBank	DrugHasTarget	DB00009	P00747
drugbank.DB00010	agonist	GHRHR	DrugCentral;DrugBank	DrugHasTarget	DB00010	Q02643
drugbank.DB00012	agonist	EPOR	DrugCentral;DrugBank	DrugHasTarget	DB00012	P19235
drugbank.DB00013	activator	PLG	DrugCentral;DrugBank	DrugHasTarget	DB00013	P00747
drugbank.DB00014	agonist	LHCGR	DrugCentral;DrugBank	DrugHasTarget	DB00014	P22888
drugbank.DB00014	agonist	GNRHR	DrugCentral;DrugBank	DrugHasTarget	DB00014	P30968
drugbank.DB00015	activator	PLG	DrugCentral;DrugBank	DrugHasTarget	DB00015	P00747
drugbank.DB00016	agonist	EPOR	DrugCentral;DrugBank	DrugHasTarget	DB00016	P19235
drugbank.DB00017	agonist	CALCR	DrugCentral;DrugBank	DrugHasTarget	DB00017	P30988
drugbank.DB00019	agonist	CSF3R	DrugCentral;DrugBank	DrugHasTarget	DB00019	Q99062
drugbank.DB00020	agonist	CSF2RA	DrugCentral;DrugBank	DrugHasTarget	DB00020	P15509
drugbank.DB00020	agonist	CSF2RB	DrugCentral;DrugBank	DrugHasTarget	DB00020	P32927
drugbank.DB00022	agonist	IFNAR1	DrugCentral;DrugBank	DrugHasTarget	DB00022	P17181
drugbank.DB00022	agonist	IFNAR2	DrugCentral;DrugBank	DrugHasTarget	DB00022	P48551
drugbank.DB00024	agonist	TSHR	DrugCentral;DrugBank	DrugHasTarget	DB00024	P16473
drugbank.DB00026	antagonist	IL1R1	DrugCentral;DrugBank	DrugHasTarget	DB00026	P14778
drugbank.DB00030	agonist	INSR	DrugCentral;DrugBank	DrugHasTarget	DB00030	P06213
drugbank.DB00031	activator	PLG	DrugCentral;DrugBank	DrugHasTarget	DB00031	P00747
drugbank.DB00035	agonist	AVPR2	DrugCentral;DrugBank	DrugHasTarget	DB00035	P30518
drugbank.DB00035		AVPR1A	DrugCentral;DrugBank	DrugHasTarget	DB00035	P37288
drugbank.DB00035		AVPR1B	DrugCentral;DrugBank	DrugHasTarget	DB00035	P47901
drugbank.DB00038	agonist	IL11RA	DrugCentral;DrugBank	DrugHasTarget	DB00038	Q14626
drugbank.DB00039	agonist;binder	FGFR2	DrugCentral;DrugBank	DrugHasTarget	DB00039	P21802
